frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
58,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
59,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.200000405,0.000000000,1.000000000,0.099999845
60,0.200000,0.300000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
61,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
62,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
63,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
64,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
65,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
66,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
67,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.399999857
68,0.000000,-0.200000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
69,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
70,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
71,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
72,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
73,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
74,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
75,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
76,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
77,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
78,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
79,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
80,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
81,0.000000,-0.300000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,-0.100000158
82,0.000000,0.300000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
83,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
84,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
85,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
86,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
87,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
88,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
89,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
90,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
91,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
92,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
93,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
94,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
95,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
96,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
97,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
98,0.000000,0.000000,0.000000,1.000000000,0.000000000,1.400000453,0.000000000,1.000000000,0.199999854
